sale_id,customer_id,model,model_variant,cartype,fuel_variant,region,city,sale_date,sale_amount
SALE0025,CUST006,Maruti Suzuki Brezza,Mid,Convertible,Diesel,North,Bangalore,2025-03-02,4422341.11
SALE0026,CUST059,Tata Nexon,Base,SUV,Electric,South,Kolkata,2023-12-05,2103777.23
SALE0027,CUST055,Skoda Kushaq,Mid,MPV,Hybrid,North-West,Kolkata,2023-06-09,4836944.89
SALE0028,CUST105,Ford EcoSport,Mid,SUV,Petrol,Central,Bhopal,2023-06-12,2887324.56
SALE0029,CUST187,Skoda Kushaq,Base,MPV,Petrol,North,Indore,2024-12-12,4532353.38
SALE0030,CUST028,Ford EcoSport,Mid,Sedan,Diesel,North-West,Hyderabad,2024-06-17,2878160.86
SALE0031,CUST119,Toyota Fortuner,Mid,SUV,CNG,South,Delhi,2024-11-13,4121582.43
SALE0032,CUST004,Volkswagen Virtus,Base,Sedan,Diesel,Central,Visakhapatnam,2024-09-17,3199335.46
SALE0033,CUST103,Hyundai Verna,Base,Sedan,CNG,North,Indore,2024-04-28,2032096.51
SALE0034,CUST117,Ford EcoSport,Top,Hatchback,Hybrid,North-West,Hyderabad,2025-03-14,1625448.48
SALE0035,CUST015,Mahindra XUV700,Base,MPV,Electric,North,Delhi,2024-01-04,3754559.01
SALE0036,CUST136,Volkswagen Virtus,Mid,SUV,Hybrid,South,Pune,2024-05-10,970015.2
SALE0037,CUST173,Kia Seltos,Mid,Hatchback,Petrol,West,Delhi,2024-11-29,3944660.16
SALE0038,CUST169,Honda City,Top,Coupe,Diesel,South-West,Kolkata,2024-06-28,2034318.37
SALE0039,CUST172,Hyundai Creta,Top,Hatchback,Electric,South,Mumbai,2024-12-22,3074741.82
SALE0040,CUST026,MG Hector,Base,Convertible,Diesel,North-East,Hyderabad,2024-05-29,5639600.64
SALE0041,CUST063,Kia Seltos,Top,Coupe,Diesel,North-West,Surat,2024-08-30,3903059.93
SALE0042,CUST168,Ford EcoSport,Base,MPV,Hybrid,North-East,Chennai,2023-05-06,5670222.02
SALE0043,CUST068,Hyundai Creta,Base,SUV,Hybrid,East,Ahmedabad,2023-09-16,2121483.87
SALE0044,CUST184,Mahindra XUV700,Top,Sedan,Electric,North-West,Ahmedabad,2023-10-31,5488817.05
SALE0045,CUST014,Hyundai Verna,Base,MPV,CNG,North-East,Delhi,2023-05-31,619146.72
SALE0046,CUST034,Ford EcoSport,Top,Sedan,CNG,Central,Mumbai,2023-09-20,1204118.96
SALE0047,CUST039,Renault Duster,Base,Coupe,Hybrid,East,Chandigarh,2023-06-15,1288205.8
SALE0048,CUST094,Toyota Fortuner,Base,Coupe,Diesel,West,Chennai,2023-10-23,2509864.63
SALE0049,CUST105,Volkswagen Virtus,Mid,Sedan,Diesel,East,Chandigarh,2024-07-10,733846.35
SALE0050,CUST086,Renault Duster,Second-Top,MPV,Diesel,North-East,Pune,2023-12-25,4851822.35
SALE0051,CUST098,Kia Seltos,Base,Hatchback,Diesel,West,Cochin,2023-12-29,2488155.49
SALE0052,CUST059,Hyundai Verna,Mid,SUV,Diesel,Central,Lucknow,2023-09-03,2104456.53
SALE0053,CUST198,Kia Seltos,Top,Coupe,Hybrid,Central,Lucknow,2023-10-15,5671880.56
SALE0054,CUST067,Kia Seltos,Mid,Convertible,Electric,North,Chennai,2025-02-15,3821484.78
SALE0055,CUST187,Maruti Suzuki Brezza,Top,Hatchback,Hybrid,South,Indore,2024-07-19,5457325.56
SALE0056,CUST066,Mahindra XUV700,Base,MPV,CNG,North,Jaipur,2024-06-21,2566795.95
SALE0057,CUST171,Kia Seltos,Top,Convertible,Electric,South,Surat,2023-08-06,3338461.52
SALE0058,CUST105,Jeep Compass,Top,Hatchback,Electric,East,Jaipur,2024-09-16,2870410.2
SALE0059,CUST174,Honda City,Mid,Convertible,Hybrid,North-East,Indore,2023-07-31,3558860.95
SALE0060,CUST078,Tata Nexon,Top,Sedan,CNG,South-West,Cochin,2024-01-05,2985644.49
SALE0061,CUST055,Jeep Compass,Second-Top,MPV,Diesel,South,Surat,2025-03-26,3383440.85
SALE0062,CUST159,Jeep Compass,Top,SUV,Diesel,North-East,Kolkata,2024-07-13,4955439.63
SALE0063,CUST007,Hyundai Creta,Base,Sedan,CNG,South,Cochin,2024-05-14,2837981.46
SALE0064,CUST148,Jeep Compass,Mid,MPV,CNG,North-West,Indore,2024-08-15,1917515.97
SALE0065,CUST177,Jeep Compass,Base,SUV,CNG,West,Pune,2024-12-09,4942193.22
SALE0066,CUST133,Renault Duster,Second-Top,SUV,Hybrid,West,Chennai,2024-10-21,3064893.86
SALE0067,CUST119,Ford EcoSport,Top,Hatchback,Hybrid,Central,Cochin,2023-09-17,5444923.76
SALE0068,CUST122,Renault Duster,Second-Top,Coupe,Diesel,North-East,Visakhapatnam,2023-04-26,3984441.56
SALE0069,CUST113,Toyota Fortuner,Base,MPV,Electric,West,Ahmedabad,2023-11-19,2413576.7
SALE0070,CUST021,Volkswagen Virtus,Mid,Sedan,Diesel,Central,Hyderabad,2023-10-15,4414663.37
SALE0071,CUST107,Kia Seltos,Second-Top,Coupe,Hybrid,North-West,Chandigarh,2023-09-04,936234.84
SALE0072,CUST108,Hyundai Verna,Second-Top,Convertible,Petrol,Central,Visakhapatnam,2025-02-20,631838.85
SALE0073,CUST077,Maruti Suzuki Brezza,Second-Top,Hatchback,Hybrid,West,Visakhapatnam,2025-01-02,1784876.83
SALE0074,CUST125,Honda City,Base,Hatchback,Electric,Central,Pune,2023-11-19,5138730.58
SALE0075,CUST160,Hyundai Creta,Base,Hatchback,Hybrid,North,Bangalore,2024-07-25,4070848.1
SALE0076,CUST119,Hyundai Creta,Mid,SUV,Electric,Central,Lucknow,2024-01-17,1742965.53
SALE0077,CUST087,Maruti Suzuki Brezza,Second-Top,Coupe,CNG,North-East,Bangalore,2025-01-30,3139656.92
SALE0078,CUST139,Renault Duster,Base,Coupe,Diesel,South,Delhi,2024-03-03,4672859.3
SALE0079,CUST052,Mahindra XUV700,Base,Convertible,Diesel,West,Hyderabad,2023-10-13,3157229.73
SALE0080,CUST145,Kia Seltos,Mid,Hatchback,Electric,South-West,Pune,2023-09-30,3871820.54
SALE0081,CUST184,Renault Duster,Base,Sedan,Electric,South,Mumbai,2024-05-17,5615990.71
SALE0082,CUST174,MG Hector,Second-Top,Hatchback,Diesel,South,Kolkata,2023-10-12,1150267.05
SALE0083,CUST078,Ford EcoSport,Base,Convertible,Petrol,South-West,Chandigarh,2024-06-03,4172215.24
SALE0084,CUST130,Kia Seltos,Top,SUV,CNG,North-West,Chennai,2025-01-18,2941026.37
SALE0085,CUST163,Maruti Suzuki Brezza,Second-Top,MPV,Diesel,Central,Pune,2024-01-19,4562494.64
SALE0086,CUST070,Jeep Compass,Second-Top,Hatchback,CNG,North-East,Lucknow,2023-09-10,5199251.06
SALE0087,CUST023,Hyundai Verna,Top,Hatchback,Diesel,North-West,Indore,2025-04-01,2416541.75
SALE0088,CUST084,Skoda Kushaq,Mid,Hatchback,Diesel,South-West,Ahmedabad,2024-04-09,2437829.75
SALE0089,CUST180,MG Hector,Top,Convertible,Petrol,West,Bangalore,2023-06-08,1903322.67
SALE0090,CUST126,Honda City,Mid,MPV,CNG,North-West,Cochin,2023-05-07,4881837.49
SALE0091,CUST076,Kia Seltos,Mid,Hatchback,Diesel,North-East,Bhopal,2023-06-22,3155606.64
SALE0092,CUST089,Volkswagen Virtus,Second-Top,MPV,Hybrid,South-West,Bhopal,2024-07-04,4395416.69
SALE0093,CUST079,Toyota Fortuner,Top,Sedan,Petrol,West,Lucknow,2024-11-02,1245595.6
SALE0094,CUST196,Volkswagen Virtus,Mid,Sedan,Diesel,North-West,Ahmedabad,2024-02-05,4512759.01
SALE0095,CUST135,Ford EcoSport,Top,SUV,Diesel,North-East,Kolkata,2023-05-19,2548757.77
SALE0096,CUST004,Toyota Fortuner,Mid,Coupe,Petrol,North,Surat,2024-01-06,4366053.92
SALE0097,CUST164,Hyundai Creta,Second-Top,SUV,Petrol,North-East,Visakhapatnam,2025-03-31,3185056.73
SALE0098,CUST048,Maruti Suzuki Brezza,Base,Coupe,CNG,South,Bangalore,2024-04-23,2763820.19
SALE0099,CUST148,Kia Seltos,Base,Sedan,Diesel,North-East,Bangalore,2025-03-12,5967157.86
SALE0100,CUST143,Kia Seltos,Second-Top,Convertible,Hybrid,West,Indore,2024-12-22,3032778.11
SALE0101,CUST077,Skoda Kushaq,Second-Top,Coupe,Hybrid,North,Chennai,2023-04-11,5716987.08
SALE0102,CUST161,Mahindra XUV700,Mid,Coupe,Petrol,East,Kolkata,2024-09-10,1538593.16
SALE0103,CUST041,Kia Seltos,Base,Hatchback,CNG,North-West,Surat,2024-08-13,776255.22
SALE0104,CUST181,Toyota Fortuner,Top,MPV,CNG,South,Kolkata,2024-04-29,5589119.64
SALE0105,CUST161,Ford EcoSport,Mid,Hatchback,Petrol,West,Hyderabad,2023-10-15,5505421.8
SALE0106,CUST037,Hyundai Verna,Base,SUV,Diesel,North-East,Surat,2024-07-14,2971428.62
SALE0107,CUST177,Skoda Kushaq,Top,MPV,CNG,North-East,Visakhapatnam,2023-06-23,2963897.86
SALE0108,CUST011,MG Hector,Second-Top,MPV,Electric,North-East,Mumbai,2024-02-14,1093165.19
SALE0109,CUST148,Jeep Compass,Base,MPV,Electric,North,Pune,2024-02-28,3140704.45
SALE0110,CUST114,Jeep Compass,Top,Sedan,Hybrid,Central,Visakhapatnam,2025-02-28,5832898.27
SALE0111,CUST090,Skoda Kushaq,Second-Top,Coupe,Electric,South,Pune,2025-01-02,2380939.78
SALE0112,CUST127,Renault Duster,Top,MPV,CNG,North,Cochin,2023-10-12,1075522.88
SALE0113,CUST083,Toyota Fortuner,Base,Hatchback,Hybrid,North,Cochin,2024-04-02,2831536.88
SALE0114,CUST133,Mahindra XUV700,Top,Convertible,CNG,North-West,Delhi,2023-08-11,1699214.49
SALE0115,CUST034,Volkswagen Virtus,Top,Hatchback,CNG,South,Mumbai,2025-01-29,5854992.81
SALE0116,CUST062,MG Hector,Mid,Coupe,Hybrid,North,Chandigarh,2024-12-29,1103329.69
SALE0117,CUST030,Hyundai Verna,Second-Top,SUV,Diesel,North-West,Surat,2023-11-07,3347908.88
SALE0118,CUST107,Toyota Fortuner,Second-Top,Hatchback,Diesel,North-West,Hyderabad,2024-07-13,2671364.47
SALE0119,CUST131,MG Hector,Mid,SUV,Electric,Central,Lucknow,2024-06-21,5644941.33
SALE0120,CUST069,Volkswagen Virtus,Base,Coupe,Electric,North-West,Hyderabad,2023-07-23,3011355.92
SALE0121,CUST089,Skoda Kushaq,Top,Convertible,Hybrid,Central,Cochin,2024-10-11,5637402.18
SALE0122,CUST049,Hyundai Verna,Mid,Convertible,CNG,West,Chandigarh,2024-05-01,835695.42
SALE0123,CUST122,Renault Duster,Second-Top,Hatchback,Diesel,North-West,Delhi,2024-10-23,1281729.86
SALE0124,CUST085,MG Hector,Base,Hatchback,Petrol,North-West,Mumbai,2024-04-24,4501196.67
SALE0125,CUST168,Honda City,Mid,SUV,CNG,North-East,Lucknow,2023-04-03,3965600.76
SALE0126,CUST167,Honda City,Base,Coupe,Hybrid,Central,Lucknow,2023-11-25,3984715.57
SALE0127,CUST125,Ford EcoSport,Base,Convertible,Petrol,West,Surat,2023-04-17,5986099.98
SALE0128,CUST024,Renault Duster,Second-Top,SUV,Petrol,North-West,Pune,2025-02-10,4347606.28
SALE0129,CUST012,Tata Nexon,Top,SUV,Electric,South-West,Bhopal,2025-01-04,2925708.65
SALE0130,CUST136,Mahindra XUV700,Second-Top,Convertible,Diesel,East,Pune,2024-11-30,1026429.09
SALE0131,CUST098,Hyundai Verna,Mid,Hatchback,Hybrid,East,Kolkata,2023-11-13,3090209.53
SALE0132,CUST118,Toyota Fortuner,Top,MPV,Petrol,North-West,Surat,2023-05-15,4259098.78
SALE0133,CUST019,Hyundai Creta,Second-Top,Coupe,Hybrid,North-East,Chandigarh,2025-01-03,4327692.97
SALE0134,CUST078,Skoda Kushaq,Mid,Hatchback,CNG,South,Kolkata,2025-02-23,2659367.21
SALE0135,CUST148,Maruti Suzuki Brezza,Top,MPV,Electric,North,Indore,2023-06-04,2082194.05
SALE0136,CUST176,MG Hector,Base,Convertible,CNG,North-East,Kolkata,2024-03-23,3878150.99
SALE0137,CUST057,Maruti Suzuki Brezza,Mid,Convertible,Electric,East,Chennai,2023-05-23,5478380.0
SALE0138,CUST011,Jeep Compass,Top,Hatchback,Petrol,South-West,Hyderabad,2024-10-10,1086720.23
SALE0139,CUST084,Toyota Fortuner,Second-Top,Sedan,Diesel,East,Bhopal,2024-10-13,3466602.82
SALE0140,CUST043,Toyota Fortuner,Top,Hatchback,Electric,South-West,Chennai,2023-07-05,3128989.5
SALE0141,CUST037,Kia Seltos,Mid,MPV,CNG,South-West,Bangalore,2024-03-15,4869682.63
SALE0142,CUST068,Tata Nexon,Base,Hatchback,Electric,North-East,Indore,2024-05-08,5041053.43
SALE0143,CUST028,Maruti Suzuki Brezza,Mid,Hatchback,Petrol,South-West,Kolkata,2023-10-13,4097322.86
SALE0144,CUST119,Jeep Compass,Top,MPV,CNG,South,Hyderabad,2024-12-30,844872.78
SALE0145,CUST078,Tata Nexon,Second-Top,SUV,Petrol,West,Hyderabad,2024-02-06,2698687.49
SALE0146,CUST172,Maruti Suzuki Brezza,Second-Top,Convertible,Diesel,Central,Chennai,2023-09-04,5101942.65
SALE0147,CUST105,MG Hector,Top,SUV,Electric,West,Cochin,2024-05-01,3001357.64
SALE0148,CUST093,Mahindra XUV700,Base,MPV,Electric,South-West,Delhi,2024-09-17,2749954.07
SALE0149,CUST032,Mahindra XUV700,Second-Top,SUV,Diesel,North,Delhi,2023-08-28,4848690.79
SALE0150,CUST033,Mahindra XUV700,Mid,SUV,Hybrid,West,Jaipur,2023-11-16,4990486.1
SALE0151,CUST085,Mahindra XUV700,Mid,Convertible,Petrol,North-East,Hyderabad,2025-03-30,5932647.44
SALE0152,CUST065,Volkswagen Virtus,Mid,SUV,Petrol,East,Mumbai,2024-07-21,2534508.31
SALE0153,CUST061,Ford EcoSport,Top,SUV,Diesel,North-East,Delhi,2024-02-17,1284496.14
SALE0154,CUST135,Honda City,Base,MPV,Petrol,North-West,Cochin,2024-04-15,4801292.01
SALE0155,CUST152,Volkswagen Virtus,Base,Hatchback,Hybrid,West,Delhi,2023-06-30,4527112.18
SALE0156,CUST169,Hyundai Verna,Top,Hatchback,Petrol,North,Visakhapatnam,2023-09-14,5175412.13
SALE0157,CUST176,Honda City,Base,Hatchback,CNG,South,Bangalore,2023-12-06,2339403.83
SALE0158,CUST017,Hyundai Creta,Mid,Coupe,Hybrid,South-West,Indore,2024-06-06,5970989.88
SALE0159,CUST076,Volkswagen Virtus,Second-Top,Convertible,Hybrid,Central,Chennai,2023-09-18,4882718.9
SALE0160,CUST168,Kia Seltos,Mid,Hatchback,CNG,West,Chandigarh,2023-09-10,2430230.74
SALE0161,CUST103,Skoda Kushaq,Second-Top,MPV,Petrol,South-West,Chandigarh,2023-05-24,2287627.28
SALE0162,CUST096,Toyota Fortuner,Mid,MPV,CNG,South,Bangalore,2024-07-07,5091568.2
SALE0163,CUST111,Kia Seltos,Base,MPV,Electric,East,Delhi,2023-09-17,3766911.45
SALE0164,CUST144,Volkswagen Virtus,Top,MPV,Petrol,Central,Bhopal,2025-01-23,5317479.81
SALE0165,CUST109,Ford EcoSport,Base,Coupe,Hybrid,North-East,Bhopal,2024-12-21,1159443.06
SALE0166,CUST055,Volkswagen Virtus,Mid,MPV,CNG,West,Chennai,2023-05-24,2490615.57
SALE0167,CUST095,Volkswagen Virtus,Base,Coupe,Hybrid,West,Chandigarh,2023-09-23,5163837.87
SALE0168,CUST160,Ford EcoSport,Base,Convertible,Electric,North,Pune,2024-08-04,2075660.1
SALE0169,CUST080,Ford EcoSport,Top,Coupe,Petrol,East,Hyderabad,2023-09-06,3658133.91
SALE0170,CUST018,Honda City,Mid,MPV,Petrol,South,Jaipur,2023-07-08,2631449.79
SALE0171,CUST088,Skoda Kushaq,Mid,Coupe,Electric,South-West,Bangalore,2025-02-14,5370047.8
SALE0172,CUST041,Hyundai Creta,Base,MPV,Petrol,North-East,Cochin,2024-05-24,4174468.94
SALE0173,CUST156,Skoda Kushaq,Second-Top,Hatchback,Electric,West,Chennai,2024-03-13,2463933.42
SALE0174,CUST073,Kia Seltos,Second-Top,Convertible,Electric,North,Kolkata,2024-10-27,2734422.34
SALE0175,CUST015,MG Hector,Base,Sedan,Electric,West,Hyderabad,2024-11-13,4726468.84
SALE0176,CUST084,Toyota Fortuner,Base,SUV,CNG,Central,Pune,2023-08-20,1297602.79
SALE0177,CUST181,Volkswagen Virtus,Mid,Convertible,Hybrid,South-West,Bangalore,2023-06-12,2744184.34
SALE0178,CUST011,Renault Duster,Second-Top,SUV,CNG,South,Lucknow,2024-02-12,3709099.47
SALE0179,CUST104,MG Hector,Second-Top,Coupe,Petrol,Central,Mumbai,2024-02-06,5817478.33
SALE0180,CUST159,Hyundai Creta,Second-Top,MPV,Electric,South,Chandigarh,2024-03-09,5160215.54
SALE0181,CUST112,Mahindra XUV700,Second-Top,Convertible,Petrol,Central,Surat,2024-09-16,4627346.06
SALE0182,CUST086,Mahindra XUV700,Mid,SUV,Hybrid,South,Jaipur,2024-08-07,5491982.75
SALE0183,CUST090,Maruti Suzuki Brezza,Mid,Sedan,Petrol,East,Ahmedabad,2025-03-22,1665267.74
SALE0184,CUST040,MG Hector,Base,Sedan,CNG,North-West,Cochin,2023-06-13,4278120.78
SALE0185,CUST165,MG Hector,Top,MPV,Electric,East,Cochin,2024-01-22,968745.8
SALE0186,CUST162,Skoda Kushaq,Top,Coupe,Hybrid,North,Bhopal,2023-12-07,3339619.18
SALE0187,CUST119,Toyota Fortuner,Second-Top,SUV,Petrol,South-West,Surat,2024-12-22,1014347.41
SALE0188,CUST024,Hyundai Verna,Second-Top,Hatchback,Hybrid,North,Cochin,2023-10-01,5508869.77
SALE0189,CUST167,MG Hector,Mid,Coupe,Hybrid,North-West,Hyderabad,2023-08-20,5771700.74
SALE0190,CUST027,Skoda Kushaq,Top,MPV,Petrol,East,Delhi,2024-02-24,1937816.11
SALE0191,CUST113,Skoda Kushaq,Mid,Coupe,Electric,North-East,Indore,2024-02-05,2807354.75
SALE0192,CUST174,Maruti Suzuki Brezza,Base,MPV,Electric,South,Lucknow,2023-10-23,1110332.12
SALE0193,CUST099,Jeep Compass,Top,Coupe,Hybrid,East,Lucknow,2023-10-02,1040110.73
SALE0194,CUST037,Jeep Compass,Top,Coupe,CNG,East,Bangalore,2025-02-05,2271742.19
SALE0195,CUST165,Honda City,Top,Sedan,Hybrid,South,Chandigarh,2024-02-20,3345837.83
SALE0196,CUST093,Tata Nexon,Top,Sedan,Diesel,South-West,Visakhapatnam,2024-12-22,1636828.26
SALE0197,CUST040,Hyundai Creta,Base,Coupe,Petrol,North,Lucknow,2024-05-09,5332520.97
SALE0198,CUST034,MG Hector,Second-Top,Sedan,Diesel,East,Pune,2023-05-09,4494388.19
SALE0199,CUST106,Tata Nexon,Top,MPV,Diesel,North-West,Surat,2025-04-02,4662912.29
SALE0200,CUST115,Ford EcoSport,Mid,Convertible,Diesel,North-East,Visakhapatnam,2024-12-04,5481461.43
SALE0201,CUST095,Mahindra XUV700,Second-Top,Hatchback,Electric,Central,Chandigarh,2025-03-11,5817848.03
SALE0202,CUST052,Hyundai Verna,Mid,Coupe,Petrol,North-West,Bhopal,2025-02-08,3594520.03
SALE0203,CUST183,Kia Seltos,Base,Coupe,Petrol,East,Ahmedabad,2024-12-13,3026323.79
SALE0204,CUST038,Volkswagen Virtus,Second-Top,SUV,Diesel,North-West,Bhopal,2023-08-02,5624548.41
SALE0205,CUST014,Honda City,Second-Top,Convertible,Electric,West,Indore,2024-03-23,5970436.9
SALE0206,CUST058,Maruti Suzuki Brezza,Base,Coupe,Petrol,South-West,Hyderabad,2023-09-06,1343037.77
SALE0207,CUST121,Toyota Fortuner,Mid,MPV,CNG,North-West,Mumbai,2024-01-21,5491630.44
SALE0208,CUST066,Tata Nexon,Mid,Sedan,Hybrid,Central,Chennai,2023-05-15,4791332.22
SALE0209,CUST078,Mahindra XUV700,Base,SUV,Diesel,Central,Cochin,2024-01-05,939158.62
SALE0210,CUST128,Hyundai Verna,Base,MPV,Hybrid,West,Hyderabad,2025-03-23,2172868.73
SALE0211,CUST158,Tata Nexon,Top,Sedan,Hybrid,Central,Pune,2023-10-13,4187605.03
SALE0212,CUST135,Kia Seltos,Top,SUV,Hybrid,North,Indore,2024-10-27,5315989.77
SALE0213,CUST163,Tata Nexon,Second-Top,Coupe,Electric,North,Bhopal,2024-02-29,4858008.09
SALE0214,CUST062,Maruti Suzuki Brezza,Base,Convertible,Electric,East,Delhi,2024-02-06,2502414.85
SALE0215,CUST165,Maruti Suzuki Brezza,Mid,MPV,CNG,North-West,Pune,2025-03-02,4982087.48
SALE0216,CUST184,Kia Seltos,Second-Top,SUV,Electric,West,Delhi,2025-03-30,4871989.75
SALE0217,CUST081,Tata Nexon,Top,Convertible,CNG,North-West,Ahmedabad,2024-05-13,797752.17
SALE0218,CUST049,Jeep Compass,Top,Coupe,Petrol,South-West,Ahmedabad,2024-09-09,1272165.04
SALE0219,CUST112,Maruti Suzuki Brezza,Second-Top,MPV,CNG,Central,Lucknow,2023-07-25,5858107.36
SALE0220,CUST178,Skoda Kushaq,Second-Top,Coupe,Hybrid,North-East,Bangalore,2023-11-05,4526239.15
SALE0221,CUST111,Kia Seltos,Mid,Convertible,Electric,South-West,Chennai,2025-03-11,1032372.12
SALE0222,CUST076,Jeep Compass,Top,Hatchback,Hybrid,Central,Pune,2024-05-30,4324729.97
SALE0223,CUST115,Maruti Suzuki Brezza,Base,MPV,Electric,Central,Ahmedabad,2024-05-03,4053134.28
SALE0224,CUST015,Ford EcoSport,Base,MPV,CNG,South-West,Pune,2024-09-30,5745062.74
SALE0225,CUST156,Hyundai Creta,Second-Top,SUV,Diesel,South,Kolkata,2023-05-14,4803983.02
SALE0226,CUST093,Maruti Suzuki Brezza,Second-Top,Convertible,Petrol,East,Cochin,2024-06-03,5723647.06
SALE0227,CUST114,Maruti Suzuki Brezza,Base,Convertible,Diesel,South-West,Indore,2024-04-04,2297681.38
SALE0228,CUST064,Toyota Fortuner,Base,SUV,Diesel,North-West,Indore,2024-12-16,5533129.53
SALE0229,CUST068,Kia Seltos,Top,MPV,CNG,West,Surat,2023-07-27,4347495.46
SALE0230,CUST052,Skoda Kushaq,Base,Sedan,Petrol,North-West,Pune,2025-03-05,5452866.77
SALE0231,CUST023,Skoda Kushaq,Top,MPV,Electric,South,Surat,2023-05-31,5413191.08
SALE0232,CUST041,Hyundai Verna,Mid,Coupe,Hybrid,West,Chennai,2023-08-16,5919715.75
SALE0233,CUST036,Ford EcoSport,Mid,Hatchback,Petrol,South-West,Bhopal,2024-06-10,3123991.53
SALE0234,CUST034,Volkswagen Virtus,Base,SUV,Electric,Central,Visakhapatnam,2024-08-08,3438756.54
SALE0235,CUST105,Ford EcoSport,Base,Sedan,Electric,South,Cochin,2023-09-21,3115499.28
SALE0236,CUST089,Volkswagen Virtus,Mid,Convertible,Hybrid,East,Hyderabad,2023-06-29,2936138.75
SALE0237,CUST015,Hyundai Verna,Base,Convertible,Diesel,North-East,Pune,2025-01-12,1474621.58
SALE0238,CUST058,Renault Duster,Top,Convertible,Electric,South,Ahmedabad,2023-09-29,1660030.37
SALE0239,CUST071,Volkswagen Virtus,Mid,MPV,Electric,South,Pune,2024-06-10,3795765.6
SALE0240,CUST040,MG Hector,Mid,MPV,Hybrid,South-West,Delhi,2024-06-28,5056275.84
SALE0241,CUST021,Tata Nexon,Base,MPV,Hybrid,North-East,Jaipur,2024-02-03,4741578.6
SALE0242,CUST159,Honda City,Base,Hatchback,Hybrid,North-East,Surat,2024-06-02,3207902.02
SALE0243,CUST176,Ford EcoSport,Second-Top,Coupe,CNG,South,Delhi,2024-04-19,1453634.41
SALE0244,CUST124,Honda City,Second-Top,Sedan,Electric,East,Lucknow,2025-02-14,5252019.41
SALE0245,CUST188,Maruti Suzuki Brezza,Top,Hatchback,Diesel,South-West,Chennai,2023-08-30,2323225.79
SALE0246,CUST032,Skoda Kushaq,Top,Hatchback,Diesel,East,Chennai,2024-09-07,873268.58
SALE0247,CUST158,Honda City,Second-Top,Sedan,Diesel,South-West,Lucknow,2023-09-24,1625104.15
SALE0248,CUST128,Hyundai Creta,Second-Top,Hatchback,Electric,North-West,Mumbai,2024-01-17,1086265.11
SALE0249,CUST130,Honda City,Second-Top,Sedan,Diesel,South-West,Delhi,2024-08-06,872918.18
SALE0250,CUST153,Skoda Kushaq,Second-Top,Coupe,Hybrid,North,Chennai,2023-11-08,2927009.95
SALE0251,CUST187,Toyota Fortuner,Top,Hatchback,Electric,North,Indore,2023-11-20,876251.51
SALE0252,CUST050,Volkswagen Virtus,Top,Convertible,Electric,South,Indore,2024-10-03,3322979.86
